epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,70.7552,1.75491,1.43217,1.48248,0.56026,0.25751,0.28279,0.1346,1.75471,1.36254,1.47128,0.000874524,0.000874524,0.000874524
45,72.2965,1.76088,1.34798,1.43924,0.53367,0.24764,0.30168,0.14311,1.74019,1.32953,1.47144,0.000869024,0.000869024,0.000869024
46,73.8841,1.79812,1.35944,1.38819,0.77794,0.24368,0.34231,0.16053,1.74106,1.29358,1.442,0.000863525,0.000863525,0.000863525
47,75.5013,1.83306,1.42382,1.41588,0.54706,0.28867,0.34866,0.14963,1.71757,1.30838,1.45298,0.000858025,0.000858025,0.000858025
48,77.0861,1.77927,1.38002,1.43109,0.63799,0.24353,0.33125,0.14484,1.85066,1.32649,1.48282,0.000852526,0.000852526,0.000852526
49,78.638,1.75533,1.33707,1.41257,0.54428,0.29176,0.30244,0.13323,1.84611,1.31428,1.46686,0.000847026,0.000847026,0.000847026
50,80.1641,1.80585,1.3865,1.44167,0.34391,0.32382,0.29174,0.14114,1.75824,1.32655,1.39497,0.000841527,0.000841527,0.000841527
51,81.6945,1.75641,1.3362,1.40326,0.46614,0.29346,0.30028,0.14625,1.63858,1.2901,1.36644,0.000836027,0.000836027,0.000836027
52,83.2869,1.79446,1.30986,1.34439,0.41362,0.31604,0.29991,0.1448,1.60324,1.22443,1.37129,0.000830528,0.000830528,0.000830528
53,84.8198,1.76452,1.42434,1.41177,0.34547,0.30885,0.31179,0.1487,1.60803,1.2325,1.37957,0.000825029,0.000825029,0.000825029
54,86.4215,1.7345,1.31422,1.37318,0.57275,0.29767,0.39577,0.18129,1.63201,1.25802,1.37821,0.000819529,0.000819529,0.000819529
55,88.016,1.72952,1.32588,1.37556,0.49813,0.31778,0.35733,0.16494,1.56646,1.21752,1.34171,0.00081403,0.00081403,0.00081403
56,89.5976,1.76117,1.35629,1.37319,0.34206,0.37601,0.33183,0.16654,1.59436,1.21406,1.33852,0.00080853,0.00080853,0.00080853
57,91.1402,1.69285,1.26275,1.31811,0.3703,0.38397,0.34003,0.16726,1.57798,1.20366,1.33585,0.000803031,0.000803031,0.000803031
58,92.6872,1.70559,1.32748,1.39672,0.449,0.31167,0.33967,0.16641,1.59668,1.22986,1.33614,0.000797531,0.000797531,0.000797531
59,94.2421,1.67549,1.27352,1.34393,0.72985,0.26829,0.38243,0.19389,1.50547,1.21264,1.30202,0.000792032,0.000792032,0.000792032
60,95.8537,1.77472,1.32755,1.41006,0.37411,0.38257,0.41373,0.20315,1.60594,1.20369,1.31768,0.000786532,0.000786532,0.000786532
61,97.4738,1.74271,1.31344,1.36528,0.42362,0.38411,0.40772,0.1963,1.61984,1.17797,1.31738,0.000781033,0.000781033,0.000781033
62,99.0696,1.65771,1.23601,1.31547,0.47071,0.33917,0.40422,0.19435,1.46909,1.1331,1.27536,0.000775534,0.000775534,0.000775534
63,100.616,1.631,1.24692,1.32051,0.63456,0.34784,0.39828,0.19008,1.51477,1.17265,1.27286,0.000770034,0.000770034,0.000770034
64,102.321,1.66562,1.20653,1.29443,0.35958,0.33372,0.3824,0.19322,1.48802,1.14555,1.26365,0.000764535,0.000764535,0.000764535
65,103.958,1.60555,1.1958,1.2895,0.4619,0.32602,0.37078,0.18212,1.46997,1.12882,1.26373,0.000759035,0.000759035,0.000759035
66,105.536,1.6253,1.18152,1.28715,0.48531,0.36186,0.41234,0.20073,1.5637,1.12131,1.28186,0.000753536,0.000753536,0.000753536
67,107.11,1.64262,1.22425,1.28329,0.60095,0.36501,0.4424,0.22207,1.56841,1.12521,1.29168,0.000748036,0.000748036,0.000748036
68,108.672,1.60772,1.2007,1.28556,0.6556,0.37741,0.46578,0.22899,1.49354,1.13437,1.27457,0.000742537,0.000742537,0.000742537
69,110.277,1.57332,1.18403,1.26713,0.56268,0.40359,0.48896,0.22764,1.50928,1.14176,1.27478,0.000737037,0.000737037,0.000737037
70,111.845,1.65893,1.21858,1.30209,0.69204,0.31467,0.4428,0.20939,1.47536,1.12511,1.27139,0.000731538,0.000731538,0.000731538
71,113.394,1.63123,1.18571,1.29218,0.6167,0.39628,0.46207,0.22092,1.52045,1.11779,1.27604,0.000726038,0.000726038,0.000726038
72,114.94,1.58643,1.16765,1.30014,0.66346,0.33729,0.45233,0.22027,1.53777,1.1259,1.2406,0.000720539,0.000720539,0.000720539
73,116.526,1.65169,1.16763,1.25765,0.69007,0.32579,0.43703,0.20624,1.55543,1.14239,1.23999,0.00071504,0.00071504,0.00071504
74,118.079,1.5271,1.09884,1.21907,0.42385,0.43324,0.42071,0.22103,1.41426,1.10545,1.21174,0.00070954,0.00070954,0.00070954
75,119.605,1.57005,1.13202,1.25748,0.43459,0.49511,0.42854,0.20956,1.54555,1.11816,1.25983,0.000704041,0.000704041,0.000704041
76,121.163,1.50562,1.17612,1.27223,0.51315,0.46349,0.43091,0.21891,1.44237,1.08258,1.22415,0.000698541,0.000698541,0.000698541
77,122.709,1.5977,1.14842,1.26164,0.49176,0.48682,0.44156,0.22472,1.42903,1.07128,1.22248,0.000693042,0.000693042,0.000693042
78,124.25,1.53501,1.1595,1.28168,0.50221,0.45502,0.44532,0.23303,1.40981,1.03626,1.21756,0.000687542,0.000687542,0.000687542
79,125.828,1.50146,1.09117,1.24919,0.56398,0.40445,0.4653,0.22983,1.50011,1.06765,1.23735,0.000682043,0.000682043,0.000682043
80,127.358,1.47571,1.09599,1.23285,0.46554,0.4618,0.43644,0.21868,1.38784,1.03108,1.212,0.000676543,0.000676543,0.000676543
81,128.926,1.50447,1.09099,1.22446,0.50263,0.39031,0.44051,0.21483,1.45183,1.03957,1.22717,0.000671044,0.000671044,0.000671044
82,130.48,1.50368,1.1139,1.24503,0.50802,0.45483,0.46175,0.23343,1.4595,1.0624,1.22817,0.000665545,0.000665545,0.000665545
83,132.061,1.49817,1.13108,1.22143,0.48177,0.44905,0.4665,0.23875,1.3738,1.04098,1.18847,0.000660045,0.000660045,0.000660045
84,133.641,1.48364,1.07971,1.22124,0.57962,0.44678,0.4547,0.23036,1.42007,1.04071,1.19552,0.000654546,0.000654546,0.000654546
85,135.278,1.47188,1.08877,1.21957,0.52364,0.46813,0.46043,0.23941,1.43944,1.0369,1.20287,0.000649046,0.000649046,0.000649046
86,136.864,1.46824,1.062,1.21255,0.57021,0.45454,0.52022,0.28231,1.34721,1.02077,1.17676,0.000643547,0.000643547,0.000643547
87,138.444,1.45316,1.07321,1.19259,0.62106,0.48686,0.51846,0.28448,1.38905,1.02526,1.18331,0.000638047,0.000638047,0.000638047
88,140.013,1.45367,1.10297,1.20762,0.6295,0.4307,0.4867,0.26848,1.40909,1.00099,1.18772,0.000632548,0.000632548,0.000632548
89,141.544,1.45328,1.05391,1.18831,0.58855,0.44954,0.49803,0.27572,1.34585,0.96773,1.17175,0.000627048,0.000627048,0.000627048
90,143.078,1.47315,1.05781,1.18461,0.61764,0.43859,0.48113,0.25709,1.34938,0.96674,1.1689,0.000621549,0.000621549,0.000621549
91,144.623,1.4805,1.06575,1.21839,0.64898,0.39742,0.47594,0.24886,1.40427,1.01034,1.19644,0.000616049,0.000616049,0.000616049
92,146.193,1.47778,1.07228,1.2037,0.63462,0.43958,0.52832,0.27384,1.35632,0.99373,1.18258,0.00061055,0.00061055,0.00061055
93,147.716,1.46931,1.04372,1.21645,0.58215,0.4364,0.4985,0.27063,1.39847,0.99271,1.19974,0.000605051,0.000605051,0.000605051
94,149.269,1.53424,1.03583,1.2196,0.56201,0.50819,0.50935,0.24896,1.49536,0.98672,1.21299,0.000599551,0.000599551,0.000599551
